starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 21 16:24:57 2022	1647854697	0	1532	1533	1532
Mon Mar 21 16:25:02 2022	1647854702	0	1533	1533	1532
Mon Mar 21 16:25:01 2022	1647854701	0	1533	1533	1532
Mon Mar 21 16:24:52 2022	1647854692	0	1534	1534	1533
Mon Mar 21 16:25:00 2022	1647854700	0	1534	1534	1533
Mon Mar 21 16:25:08 2022	1647854708	0	1534	1534	1534
Mon Mar 21 16:24:56 2022	1647854696	0	1534	1535	1533
Mon Mar 21 16:24:49 2022	1647854689	0	1535	1535	1534
Mon Mar 21 16:25:01 2022	1647854701	0	1535	1535	1535
Mon Mar 21 16:24:54 2022	1647854694	0	1535	1536	1535
Mon Mar 21 16:25:08 2022	1647854708	0	1536	1536	1535
Mon Mar 21 16:25:07 2022	1647854707	1	1536	1536	1535
Mon Mar 21 16:25:08 2022	1647854708	0	1537	1537	1536
Mon Mar 21 16:25:02 2022	1647854702	0	1537	1537	1536
Mon Mar 21 16:25:03 2022	1647854703	0	1537	1537	1536
Mon Mar 21 16:25:02 2022	1647854702	0	1537	1537	1536
Mon Mar 21 16:25:00 2022	1647854700	0	1537	1537	1537
Mon Mar 21 16:25:09 2022	1647854709	0	1537	1538	1537
Mon Mar 21 16:24:49 2022	1647854689	0	1538	1538	1537
Mon Mar 21 16:25:00 2022	1647854700	0	1538	1538	1537
Mon Mar 21 16:25:07 2022	1647854707	0	1538	1538	1537
Mon Mar 21 16:25:01 2022	1647854701	0	1538	1539	1538
Mon Mar 21 16:24:56 2022	1647854696	0	1539	1539	1538
Mon Mar 21 16:25:00 2022	1647854700	0	1539	1539	1538
Mon Mar 21 16:24:56 2022	1647854696	0	1539	1539	1539
Mon Mar 21 16:24:50 2022	1647854690	0	1540	1540	1539
Mon Mar 21 16:24:58 2022	1647854698	0	1540	1540	1539
Mon Mar 21 16:24:50 2022	1647854690	0	1540	1540	1540
Mon Mar 21 16:25:01 2022	1647854701	0	1540	1541	1540
Mon Mar 21 16:25:08 2022	1647854708	0	1541	1541	1540
Mon Mar 21 16:24:49 2022	1647854689	0	1541	1541	1540
Mon Mar 21 16:25:07 2022	1647854707	0	1541	1541	1541
Mon Mar 21 16:25:08 2022	1647854708	0	1541	1541	1541
Mon Mar 21 16:24:56 2022	1647854696	0	1541	1541	1540
Mon Mar 21 16:25:08 2022	1647854708	0	1541	1541	1541
Mon Mar 21 16:24:45 2022	1647854685	0	1541	1541	1541
Mon Mar 21 16:24:56 2022	1647854696	0	1541	1541	1541
Mon Mar 21 16:24:55 2022	1647854695	0	1542	1542	1541
Mon Mar 21 16:24:55 2022	1647854695	0	1542	1542	1542
Mon Mar 21 16:24:55 2022	1647854695	0	1542	1542	1542
Mon Mar 21 16:24:52 2022	1647854692	0	1542	1542	1542
Mon Mar 21 16:24:57 2022	1647854697	0	1542	1542	1542
Mon Mar 21 16:24:44 2022	1647854684	0	1542	1542	1542
Mon Mar 21 16:24:45 2022	1647854685	0	1542	1543	1542
Mon Mar 21 16:24:56 2022	1647854696	0	1543	1543	1542
Mon Mar 21 16:25:00 2022	1647854700	0	1543	1543	1542
Mon Mar 21 16:24:56 2022	1647854696	0	1544	1544	1543
Mon Mar 21 16:25:02 2022	1647854702	0	1544	1544	1544
Mon Mar 21 16:24:49 2022	1647854689	0	1544	1544	1544
Mon Mar 21 16:24:48 2022	1647854688	0	1544	1544	1544
Mon Mar 21 16:25:00 2022	1647854700	0	1545	1545	1544
Mon Mar 21 16:24:56 2022	1647854696	0	1545	1546	1545
Mon Mar 21 16:24:56 2022	1647854696	0	1546	1546	1545
Mon Mar 21 16:24:53 2022	1647854693	0	1546	1546	1545
Mon Mar 21 16:24:56 2022	1647854696	0	1547	1547	1546
Mon Mar 21 16:25:00 2022	1647854700	0	1547	1547	1546
Mon Mar 21 16:25:00 2022	1647854700	0	1547	1548	1547
Mon Mar 21 16:24:50 2022	1647854690	0	1547	1548	1547
Mon Mar 21 16:25:02 2022	1647854702	0	1548	1548	1547
Mon Mar 21 16:24:56 2022	1647854696	0	1548	1548	1547
Mon Mar 21 16:25:00 2022	1647854700	0	1548	1548	1547
Mon Mar 21 16:24:50 2022	1647854690	0	1548	1548	1548
Mon Mar 21 16:25:00 2022	1647854700	0	1548	1548	1548
Mon Mar 21 16:24:57 2022	1647854697	0	1548	1548	1548
Mon Mar 21 16:24:57 2022	1647854697	0	1548	1549	1548
Mon Mar 21 16:24:51 2022	1647854691	0	1549	1549	1548
Mon Mar 21 16:24:56 2022	1647854696	0	1549	1549	1548
Mon Mar 21 16:24:56 2022	1647854696	0	1549	1549	1549
Mon Mar 21 16:25:09 2022	1647854709	0	1549	1550	1549
Mon Mar 21 16:24:49 2022	1647854689	0	1550	1551	1550
Mon Mar 21 16:24:56 2022	1647854696	0	1551	1551	1550
Mon Mar 21 16:25:08 2022	1647854708	0	1551	1551	1550
Mon Mar 21 16:25:07 2022	1647854707	0	1551	1551	1551
Mon Mar 21 16:24:50 2022	1647854690	0	1551	1552	1551
Mon Mar 21 16:24:46 2022	1647854686	0	1552	1552	1551
Mon Mar 21 16:24:57 2022	1647854697	0	1552	1552	1552
Mon Mar 21 16:24:55 2022	1647854695	0	1552	1552	1552
Mon Mar 21 16:25:03 2022	1647854703	0	1553	1553	1552
Mon Mar 21 16:24:58 2022	1647854698	0	1553	1553	1553
Mon Mar 21 16:24:45 2022	1647854685	0	1553	1553	1553
Mon Mar 21 16:24:46 2022	1647854686	0	1554	1554	1554
Mon Mar 21 16:24:49 2022	1647854689	0	1554	1555	1554
Mon Mar 21 16:24:58 2022	1647854698	0	1554	1555	1554
Mon Mar 21 16:24:54 2022	1647854694	0	1555	1555	1554
Mon Mar 21 16:24:47 2022	1647854687	0	1555	1555	1554
Mon Mar 21 16:25:00 2022	1647854700	0	1555	1555	1555
Mon Mar 21 16:25:08 2022	1647854708	0	1555	1556	1555
Mon Mar 21 16:24:58 2022	1647854698	0	1556	1556	1555
Mon Mar 21 16:25:08 2022	1647854708	0	1556	1556	1556
Mon Mar 21 16:24:46 2022	1647854686	0	1556	1557	1556
Mon Mar 21 16:24:57 2022	1647854697	0	1556	1557	1556
Mon Mar 21 16:25:01 2022	1647854701	0	1557	1557	1556
Mon Mar 21 16:25:09 2022	1647854709	0	1557	1557	1557
Mon Mar 21 16:25:08 2022	1647854708	0	1557	1557	1557
Mon Mar 21 16:24:48 2022	1647854688	0	1557	1558	1557
Mon Mar 21 16:25:03 2022	1647854703	0	1558	1558	1557
Mon Mar 21 16:24:57 2022	1647854697	0	1558	1558	1557
Mon Mar 21 16:25:00 2022	1647854700	0	1558	1558	1557
Mon Mar 21 16:24:57 2022	1647854697	0	1558	1558	1557
Mon Mar 21 16:24:50 2022	1647854690	0	1558	1558	1558
Mon Mar 21 16:24:51 2022	1647854691	0	1559	1559	1558
Mon Mar 21 16:25:00 2022	1647854700	0	1560	1560	1560
Mon Mar 21 16:24:57 2022	1647854697	0	1560	1561	1560
Mon Mar 21 16:25:08 2022	1647854708	0	1561	1561	1561
Mon Mar 21 16:24:59 2022	1647854699	0	1563	1563	1562
Mon Mar 21 16:24:56 2022	1647854696	0	1563	1563	1562
Mon Mar 21 16:24:47 2022	1647854687	0	1563	1563	1563
Mon Mar 21 16:25:00 2022	1647854700	0	1564	1564	1563
Mon Mar 21 16:24:55 2022	1647854695	0	1564	1565	1564
Mon Mar 21 16:24:45 2022	1647854685	0	1566	1566	1565
Mon Mar 21 16:24:52 2022	1647854692	0	1566	1566	1565
Mon Mar 21 16:24:46 2022	1647854686	0	1566	1566	1565
Mon Mar 21 16:25:08 2022	1647854708	0	1566	1566	1565
Mon Mar 21 16:24:51 2022	1647854691	0	1566	1567	1566
Mon Mar 21 16:24:57 2022	1647854697	0	1567	1567	1566
Mon Mar 21 16:24:49 2022	1647854689	0	1567	1567	1567
Mon Mar 21 16:25:00 2022	1647854700	0	1567	1568	1567
Mon Mar 21 16:24:57 2022	1647854697	0	1567	1568	1567
Mon Mar 21 16:24:58 2022	1647854698	0	1568	1568	1567
Mon Mar 21 16:24:56 2022	1647854696	0	1568	1568	1568
Mon Mar 21 16:24:45 2022	1647854685	0	1569	1569	1568
Mon Mar 21 16:25:08 2022	1647854708	0	1569	1569	1569
Mon Mar 21 16:25:01 2022	1647854701	0	1570	1570	1569
Mon Mar 21 16:24:56 2022	1647854696	0	1570	1570	1570
Mon Mar 21 16:25:00 2022	1647854700	0	1570	1570	1569
Mon Mar 21 16:24:59 2022	1647854699	0	1570	1570	1570
Mon Mar 21 16:24:55 2022	1647854695	0	1570	1571	1570
Mon Mar 21 16:25:07 2022	1647854707	0	1571	1571	1570
Mon Mar 21 16:24:58 2022	1647854698	0	1571	1571	1570
Mon Mar 21 16:24:54 2022	1647854694	0	1571	1571	1570
Mon Mar 21 16:24:51 2022	1647854691	0	1571	1571	1571
Mon Mar 21 16:24:55 2022	1647854695	0	1571	1572	1571
Mon Mar 21 16:24:57 2022	1647854697	0	1572	1573	1572
Mon Mar 21 16:24:56 2022	1647854696	0	1573	1573	1573
Mon Mar 21 16:24:47 2022	1647854687	0	1573	1573	1572
Mon Mar 21 16:24:57 2022	1647854697	0	1573	1573	1573
Mon Mar 21 16:24:58 2022	1647854698	0	1573	1573	1573
Mon Mar 21 16:24:50 2022	1647854690	0	1573	1573	1573
Mon Mar 21 16:25:08 2022	1647854708	0	1575	1575	1574
Mon Mar 21 16:24:49 2022	1647854689	0	1575	1575	1574
Mon Mar 21 16:24:51 2022	1647854691	0	1575	1575	1574
Mon Mar 21 16:24:50 2022	1647854690	0	1575	1575	1575
Mon Mar 21 16:24:54 2022	1647854694	0	1575	1576	1575
Mon Mar 21 16:24:51 2022	1647854691	0	1575	1576	1575
Mon Mar 21 16:25:02 2022	1647854702	0	1576	1576	1575
Mon Mar 21 16:25:00 2022	1647854700	0	1576	1576	1575
Mon Mar 21 16:24:56 2022	1647854696	0	1577	1577	1576
Mon Mar 21 16:24:52 2022	1647854692	0	1577	1577	1576
Mon Mar 21 16:25:00 2022	1647854700	0	1577	1577	1577
Mon Mar 21 16:25:03 2022	1647854703	0	1578	1578	1577
Mon Mar 21 16:24:51 2022	1647854691	0	1578	1578	1577
Mon Mar 21 16:25:08 2022	1647854708	0	1578	1579	1578
Mon Mar 21 16:24:56 2022	1647854696	0	1580	1580	1579
Mon Mar 21 16:24:56 2022	1647854696	0	1580	1580	1580
Mon Mar 21 16:25:07 2022	1647854707	0	1581	1581	1581
Mon Mar 21 16:24:57 2022	1647854697	0	1582	1582	1581
Mon Mar 21 16:24:57 2022	1647854697	0	1582	1582	1581
Mon Mar 21 16:24:45 2022	1647854685	0	1582	1582	1581
Mon Mar 21 16:24:46 2022	1647854686	0	1582	1583	1582
Mon Mar 21 16:25:01 2022	1647854701	0	1583	1583	1582
Mon Mar 21 16:25:00 2022	1647854700	0	1583	1583	1582
Mon Mar 21 16:24:55 2022	1647854695	0	1585	1585	1584
Mon Mar 21 16:25:08 2022	1647854708	0	1586	1586	1585
Mon Mar 21 16:24:56 2022	1647854696	0	1586	1586	1585
Mon Mar 21 16:25:08 2022	1647854708	0	1587	1587	1586
Mon Mar 21 16:24:51 2022	1647854691	0	1587	1587	1587
Mon Mar 21 16:24:57 2022	1647854697	0	1588	1588	1587
Mon Mar 21 16:24:52 2022	1647854692	0	1588	1588	1588
Mon Mar 21 16:25:08 2022	1647854708	0	1588	1588	1588
Mon Mar 21 16:24:48 2022	1647854688	0	1589	1589	1588
Mon Mar 21 16:24:57 2022	1647854697	0	1589	1589	1589
Mon Mar 21 16:25:08 2022	1647854708	0	1591	1591	1590
Mon Mar 21 16:24:49 2022	1647854689	0	1591	1591	1590
Mon Mar 21 16:24:57 2022	1647854697	0	1591	1591	1591
Mon Mar 21 16:24:51 2022	1647854691	0	1592	1592	1591
Mon Mar 21 16:24:52 2022	1647854692	0	1592	1592	1591
Mon Mar 21 16:24:52 2022	1647854692	0	1592	1593	1592
Mon Mar 21 16:25:00 2022	1647854700	0	1593	1593	1592
Mon Mar 21 16:24:51 2022	1647854691	0	1593	1593	1593
Mon Mar 21 16:25:00 2022	1647854700	0	1593	1594	1593
Mon Mar 21 16:24:49 2022	1647854689	0	1594	1594	1593
Mon Mar 21 16:24:57 2022	1647854697	0	1594	1594	1593
Mon Mar 21 16:25:00 2022	1647854700	0	1594	1594	1593
Mon Mar 21 16:24:56 2022	1647854696	0	1595	1595	1595
Mon Mar 21 16:24:50 2022	1647854690	0	1596	1596	1596
Mon Mar 21 16:25:08 2022	1647854708	0	1596	1597	1596
Mon Mar 21 16:24:57 2022	1647854697	0	1597	1597	1596
Mon Mar 21 16:25:00 2022	1647854700	0	1597	1597	1597
Mon Mar 21 16:24:57 2022	1647854697	0	1598	1598	1597
Mon Mar 21 16:24:51 2022	1647854691	0	1598	1598	1597
Mon Mar 21 16:25:07 2022	1647854707	0	1598	1598	1597
Mon Mar 21 16:24:56 2022	1647854696	0	1598	1599	1598
Mon Mar 21 16:24:52 2022	1647854692	0	1599	1599	1598
Mon Mar 21 16:25:00 2022	1647854700	0	1599	1599	1598
Mon Mar 21 16:25:00 2022	1647854700	0	1599	1599	1599
Mon Mar 21 16:24:56 2022	1647854696	0	1600	1601	1600
Mon Mar 21 16:24:52 2022	1647854692	0	1601	1601	1600
Mon Mar 21 16:25:00 2022	1647854700	0	1602	1602	1601
Mon Mar 21 16:24:57 2022	1647854697	0	1602	1602	1602
Mon Mar 21 16:24:49 2022	1647854689	0	1602	1602	1601
Mon Mar 21 16:25:08 2022	1647854708	0	1602	1602	1602
Mon Mar 21 16:24:54 2022	1647854694	0	1603	1603	1602
Mon Mar 21 16:24:54 2022	1647854694	0	1603	1603	1602
Mon Mar 21 16:24:56 2022	1647854696	0	1603	1603	1603
Mon Mar 21 16:24:57 2022	1647854697	0	1603	1604	1603
Mon Mar 21 16:24:45 2022	1647854685	0	1604	1604	1603
Mon Mar 21 16:24:57 2022	1647854697	0	1603	1604	1603
Mon Mar 21 16:25:00 2022	1647854700	0	1604	1604	1604
Mon Mar 21 16:25:00 2022	1647854700	0	1604	1605	1604
Mon Mar 21 16:25:00 2022	1647854700	0	1606	1606	1606
Mon Mar 21 16:24:49 2022	1647854689	0	1606	1607	1606
Mon Mar 21 16:24:56 2022	1647854696	0	1607	1607	1606
Mon Mar 21 16:25:00 2022	1647854700	0	1607	1607	1607
Mon Mar 21 16:25:00 2022	1647854700	0	1608	1608	1608
Mon Mar 21 16:24:57 2022	1647854697	0	1608	1609	1608
