starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 22 14:20:08 2022	1647933608	0	2862	2862	2862
Tue Mar 22 14:20:02 2022	1647933602	0	2862	2862	2862
Tue Mar 22 14:19:52 2022	1647933592	0	2863	2863	2863
Tue Mar 22 14:20:02 2022	1647933602	0	2865	2865	2865
Tue Mar 22 14:20:13 2022	1647933613	0	2866	2866	2866
Tue Mar 22 14:20:12 2022	1647933612	0	2867	2867	2866
Tue Mar 22 14:20:45 2022	1647933645	0	2867	2867	2867
Tue Mar 22 14:20:44 2022	1647933644	0	2869	2869	2868
Tue Mar 22 14:20:44 2022	1647933644	0	2869	2869	2869
Tue Mar 22 14:19:42 2022	1647933582	3	2868	2871	2867
Tue Mar 22 14:19:49 2022	1647933589	0	2872	2872	2871
Tue Mar 22 14:20:12 2022	1647933612	0	2872	2873	2872
Tue Mar 22 14:19:52 2022	1647933592	0	2872	2873	2872
Tue Mar 22 14:20:04 2022	1647933604	0	2873	2873	2872
Tue Mar 22 14:20:12 2022	1647933612	0	2874	2875	2874
Tue Mar 22 14:19:51 2022	1647933591	0	2875	2875	2874
Tue Mar 22 14:20:03 2022	1647933603	0	2876	2876	2875
Tue Mar 22 14:19:58 2022	1647933598	0	2876	2876	2875
Tue Mar 22 14:20:45 2022	1647933645	0	2876	2876	2876
Tue Mar 22 14:20:01 2022	1647933601	0	2877	2878	2877
Tue Mar 22 14:20:19 2022	1647933619	0	2879	2879	2879
Tue Mar 22 14:20:12 2022	1647933612	0	2880	2880	2879
Tue Mar 22 14:20:17 2022	1647933617	0	2881	2881	2880
Tue Mar 22 14:20:06 2022	1647933606	0	2881	2881	2880
Tue Mar 22 14:19:59 2022	1647933599	0	2881	2881	2881
Tue Mar 22 14:19:57 2022	1647933597	0	2883	2883	2882
Tue Mar 22 14:19:58 2022	1647933598	0	2883	2884	2883
Tue Mar 22 14:19:55 2022	1647933595	0	2884	2884	2883
Tue Mar 22 14:20:05 2022	1647933605	0	2884	2884	2883
Tue Mar 22 14:20:04 2022	1647933604	0	2886	2886	2885
Tue Mar 22 14:19:59 2022	1647933599	0	2886	2886	2885
Tue Mar 22 14:19:58 2022	1647933598	0	2886	2886	2886
Tue Mar 22 14:19:58 2022	1647933598	0	2887	2887	2886
Tue Mar 22 14:19:42 2022	1647933582	2	2886	2888	2886
Tue Mar 22 14:19:51 2022	1647933591	0	2888	2888	2888
Tue Mar 22 14:20:44 2022	1647933644	0	2889	2889	2888
Tue Mar 22 14:20:01 2022	1647933601	0	2889	2889	2889
Tue Mar 22 14:20:44 2022	1647933644	0	2889	2890	2889
Tue Mar 22 14:19:52 2022	1647933592	0	2890	2890	2889
