starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 22 14:20:30 2022	1647933630	0	4046	4046	4046
Tue Mar 22 14:20:41 2022	1647933641	0	4047	4048	4047
Tue Mar 22 14:20:42 2022	1647933642	0	4048	4048	4048
Tue Mar 22 14:20:42 2022	1647933642	0	4050	4050	4049
Tue Mar 22 14:20:31 2022	1647933631	0	4052	4052	4052
Tue Mar 22 14:20:42 2022	1647933642	0	4055	4055	4054
Tue Mar 22 14:20:42 2022	1647933642	0	4057	4057	4056
Tue Mar 22 14:20:31 2022	1647933631	0	4060	4061	4060
Tue Mar 22 14:20:35 2022	1647933635	0	4062	4062	4062
Tue Mar 22 14:20:41 2022	1647933641	0	4062	4062	4061
Tue Mar 22 14:20:41 2022	1647933641	0	4064	4064	4064
Tue Mar 22 14:20:37 2022	1647933637	0	4065	4065	4064
Tue Mar 22 14:20:31 2022	1647933631	0	4067	4067	4066
Tue Mar 22 14:20:42 2022	1647933642	0	4070	4070	4069
Tue Mar 22 14:20:36 2022	1647933636	0	4071	4072	4071
Tue Mar 22 14:20:42 2022	1647933642	0	4075	4075	4075
Tue Mar 22 14:20:42 2022	1647933642	0	4078	4078	4077
Tue Mar 22 14:20:42 2022	1647933642	0	4078	4078	4078
Tue Mar 22 14:20:40 2022	1647933640	0	4080	4080	4079
Tue Mar 22 14:20:41 2022	1647933641	0	4081	4081	4080
Tue Mar 22 14:20:32 2022	1647933632	0	4082	4082	4082
Tue Mar 22 14:20:41 2022	1647933641	0	4083	4083	4083
Tue Mar 22 14:20:36 2022	1647933636	0	4085	4085	4084
Tue Mar 22 14:20:30 2022	1647933630	0	4086	4086	4085
Tue Mar 22 14:20:40 2022	1647933640	0	4088	4088	4088
Tue Mar 22 14:20:36 2022	1647933636	0	4090	4090	4089
Tue Mar 22 14:20:32 2022	1647933632	0	4090	4090	4089
Tue Mar 22 14:20:31 2022	1647933631	0	4095	4095	4095
Tue Mar 22 14:20:41 2022	1647933641	0	4096	4096	4095
Tue Mar 22 14:20:36 2022	1647933636	0	4096	4096	4096
Tue Mar 22 14:20:40 2022	1647933640	0	4097	4097	4097
Tue Mar 22 14:20:32 2022	1647933632	0	4098	4098	4098
Tue Mar 22 14:20:40 2022	1647933640	0	4100	4100	4100
Tue Mar 22 14:20:32 2022	1647933632	0	4100	4100	4100
Tue Mar 22 14:20:30 2022	1647933630	0	4103	4103	4102
Tue Mar 22 14:20:40 2022	1647933640	0	4103	4103	4103
Tue Mar 22 14:20:31 2022	1647933631	0	4110	4110	4109
Tue Mar 22 14:20:40 2022	1647933640	0	4110	4110	4110
Tue Mar 22 14:20:40 2022	1647933640	0	4112	4112	4111
Tue Mar 22 14:20:32 2022	1647933632	0	4112	4112	4112
Tue Mar 22 14:20:42 2022	1647933642	0	4112	4112	4112
Tue Mar 22 14:20:40 2022	1647933640	0	4127	4127	4127
Tue Mar 22 14:20:42 2022	1647933642	0	4131	4132	4131
Tue Mar 22 14:20:41 2022	1647933641	0	4133	4133	4132
Tue Mar 22 14:20:41 2022	1647933641	0	4134	4134	4134
Tue Mar 22 14:20:32 2022	1647933632	0	4135	4135	4135
Tue Mar 22 14:20:32 2022	1647933632	0	4137	4137	4137
Tue Mar 22 14:20:40 2022	1647933640	0	4143	4143	4142
Tue Mar 22 14:20:31 2022	1647933631	0	4148	4148	4147
Tue Mar 22 14:20:42 2022	1647933642	0	4155	4155	4154
Tue Mar 22 14:20:40 2022	1647933640	0	4156	4156	4155
Tue Mar 22 14:20:41 2022	1647933641	1	4157	4158	4157
Tue Mar 22 14:20:40 2022	1647933640	0	4164	4164	4163
Tue Mar 22 14:20:41 2022	1647933641	0	4169	4169	4169
Tue Mar 22 14:20:32 2022	1647933632	0	4170	4170	4170
Tue Mar 22 14:20:40 2022	1647933640	0	4171	4171	4171
